screen_name,description,latest_followers_count,office,party,tweet_created_at,tweet_text,favorites_count,retweet_count
RepTrey,Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.,1498,congressperson,republican,2017-01-20T17:10:33Z,"It was a pleasure to welcome Hoosiers from across #IN09 to THEIR office in Washington, D.C. for this momentous occa... https://t.co/7TQh3bDvBc",0,0
govsambrownback,Official Twitter page for Kansas Governor Sam Brownback. Tweets from the Governor are signed -SDB. #ksleg,17153,govenor,republican,2017-01-20T20:59:35Z,".@KSCorrections has a hand, or a hoof, in today's #Inauguration. Horses trained at the Hutchinson facility are marc... https://t.co/ipNJ3PRHUp",20,4
SenTomCotton,U.S. Senator proudly serving the state of Arkansas.,64590,senator,republican,2017-01-20T16:08:19Z,I talked with @HughHewitt and Larry Arnn about #InaugurationDay LISTEN: https://t.co/vlk2Qubsxm,28,9
GovHawaii,"The official Twitter account of Hawaii's Governor David Ige. Updated by staff. To contact our office, visit https://t.co/BMCpRNf9kG",4130,govenor,democrat,2017-01-20T01:30:02Z,"Join us on Monday, January 23 at 10am for #higov 2017 State of the State address. Live stream via @olelocommunity... https://t.co/D1MjQ18nGo",3,1
RepGwenMoore,"Proudly representing Wisconsin’s 4th Congressional District; mother, grandmother; loves poetry, reading, knitting and crocheting.",20365,congressperson,democrat,2017-01-20T01:08:44Z,Thank you @embee503 for being an #Obamacare ally! Raise your voice so @realDonaldTrump @HouseGOP @SenateGOP hear yo... https://t.co/ZAOXJRIVIt,12,6
SenTomCotton,U.S. Senator proudly serving the state of Arkansas.,64590,senator,republican,2017-01-20T14:27:56Z,Today we will witness history and a hallmark of our democracy: a peaceful transfer of power. Watch live: https://t.co/i0HO70ZPYJ,120,23
RepCurbelo,"Representing Florida's 26th Congressional District, Husband, Dad, Catholic, Son of Cuban exiles, GOP, UM gradx2, Belen Jesuit",9563,congressperson,republican,2017-01-20T18:04:01Z,My perspective as the new President took the oath of office administered by Chief Justice Roberts. #Inauguration https://t.co/wMUUYxG50Y,26,9
RepDeSaulnier,Honored to represent California's 11th Congressional District. Serving on the House Education and Workforce and Oversight and Government Reform Committees.,8913,congressperson,democrat,2017-01-20T13:03:53Z,"For 8 yrs you've led our country w/ dignity, poise &amp; grace. #ThankYouObama for fighting for equality &amp; inspiring ho... https://t.co/DQ4xcqrgJA",155,37
RepAmata,"Congresswoman Representing American Samoa. Proudly serving on the @NatResources, @HouseVetAffairs, and @HouseSmallBiz",898,congressperson,republican,2017-01-20T19:19:16Z,I was excited to be at the Inauguration of @POTUS @realDonaldTrump today! #Inauguration #InaugurationDay2017 https://t.co/m34KpsNMHF,11,3
SenatorFischer,U.S. Senator and Cherry County rancher working to bring some Nebraska common sense to Washington,34906,senator,republican,2017-01-20T15:56:16Z,Great view from the platform this morning. Looking forward to today's ceremony #Inauguration2017 https://t.co/q4wCNSqgIo,60,10
RepLoBiondo,Congressman proudly representing New Jersey's 2nd District. Chairman of House Aviation Subcommittee & CIA Subcommittee,11084,congressperson,republican,2017-01-20T19:01:37Z,"Honored to share today with Salem County historian Harold Smick, who has attended every... https://t.co/Wo775tQNmh",5,1
RepByrne,I am proud to represent Alabama's First Congressional District in the U.S. House of Representatives.,11384,congressperson,republican,2017-01-20T19:13:01Z,"Terrible news. Join me in praying for the family, friends, players, and students of Coach Akins. https://t.co/zH9KhRQIyp",7,4
RepMarcyKaptur,Office of Congresswoman Marcy Kaptur. Longest serving woman in Congress and proudly representing Ohio's 9th District.,12394,congressperson,democrat,2017-01-20T15:49:10Z,Met this man this morning on the way to the Capitol. Messages of hope and unity are more important than ever. https://t.co/QUUpQgIiCH,44,10
RepLoudermilk,"Rep. Barry Loudermilk represents Georgia's 11th Congressional District, which includes all of Bartow and Cherokee counties and portions of Cobb and Fulton.",5835,congressperson,republican,2017-01-20T13:50:59Z,"The excitement is electric as millions of Americans, including many from #GA11, descend on Washington D.C. for the... https://t.co/4zLTnaEJ7K",10,5
RepRickLarsen,"Born and raised in Arlington, Wash.
Ranking Member, Aviation Subcommittee",14135,congressperson,democrat,2017-01-20T22:28:13Z,"RT @BCAppelbaum: Compare the crowds: 2009 inauguration at left, 2017 inauguration at right.
#Inauguration https://t.co/y7RhIR2nfC",0,51353
ChuckGrassley,"U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.",121751,senator,republican,2017-01-20T21:01:04Z,Chief Justice Roberts administering the presidential oath of office https://t.co/ONbHRHvNCg,32,23
RepEsty,"Mom, community advocate, and U.S. Representative for Connecticut's 5th Congressional District. This is the official account for my Congressional office.",15020,congressperson,democrat,2017-01-20T20:28:17Z,11/ It is time for us to put country first. [end] #InaugurationDay2017,6,1
Raul_Labrador,Proudly serving Idaho's beautiful 1st Congressional District.,15696,congressperson,republican,2017-01-20T22:42:06Z,"Reflections on the inauguration, where we celebrate our 220-year tradition of peaceful transfer of power.... https://t.co/j0RGkRYbJr",13,6
RepDianeBlack,"Chairman of @HouseBudgetGOP & Congressman for #TN06. Wife to Dave, mom of three, and proud Mimi to six grandchildren. Registered nurse.",18722,congressperson,republican,2017-01-20T18:22:06Z,"On the platform earlier today for the #inauguration of our 45th President, @realDonaldTrump. What a powerful moment... https://t.co/2kGk6tPPV3",72,9
davidcicilline,Serving Rhode Island's First District in Congress. Co-Chair of DPCC. #Resist,25402,congressperson,democrat,2017-01-20T22:19:57Z,...who didn't vote for him last November with a strong message that would have helped to unite our country.,15,3
reppittenger,"Official Twitter of U.S. Congressman Robert Pittenger, proudly serving North Carolina's 9th District.",9368,congressperson,republican,2017-01-20T12:30:00Z,"Good morning! At 7:50 a.m. I'll join @BoThompsonWBT (1110AM/99.3FM) to discuss inauguration of President Trump, Dems disingenuous boycott",1,1
GovMalloyOffice,Official account of the Office of Connecticut Governor Dannel P. Malloy. Tweets are from office staff.,110994,govenor,democrat,2017-01-20T17:53:07Z,Jordan Scheff will be serving as Acting Commissioner of @CT_DDS - https://t.co/LWYvDmfg8Z,1,2
RepMcCaul,News from Congressman Michael McCaul (R-TX 10) and his Press Office,18285,congressperson,republican,2017-01-20T19:00:12Z,I will work closely with @realDonaldTrump to defend our homeland from the many threats across the globe. #homelandsecurity,24,1
SenSherrodBrown,Office of United States Senator Sherrod Brown. Proud to serve Ohio. Tweets from Sherrod signed -SB.,107390,senator,democrat,2017-01-20T17:34:12Z,.@realDonaldTrump promises #buyamerican #hireamerican. Read more abt Sherrod's bill: https://t.co/QsaurDJJNy https://t.co/qP0RL4P2v3,254,112
ChrisMurphyCT,"U.S. Senator, Connecticut",219501,senator,democrat,2017-01-20T04:56:31Z,Mmmmmm...chicken fries.  cc @CoryBooker  https://t.co/Bn4orcZfyw,180,19
RepKClark,Proudly representing the people of the 5th District of Massachusetts.,30592,congressperson,democrat,2017-01-20T11:51:39Z,Thank you. https://t.co/f6zMQytfGt,486,135
JimLangevin,Congressman for Rhode Island's   Second District,16811,congressperson,democrat,2017-01-20T17:41:08Z,"The @WomensRallyPVD starts as one day, but the work to ensure equal opportunity must continue over the next 4yrs and beyond #WomensMarch",15,7
MarshaBlackburn,I am honored to serve the people of Tennessee's 7th District.,30839,congressperson,republican,2017-01-20T17:43:59Z,Happy to join Gov Bill Haslam and former Sen Bill Frost on the platform for the swearing in. https://t.co/Mys16bNHeh,74,2
RepGosar,Rep. for Arizona's 4th Congressional District. Chairman of @westerncaucus & Subcommittee on Energy & Minerals @NatResources. Dentist impersonating a politician.,22902,congressperson,republican,2017-01-20T18:07:00Z,RT @RepBrianBabin: Looking forward to getting to work with our new President to put #AmericaFirst! https://t.co/iq6QQgWHLn,0,5
RepYvetteClarke,"U.S. Rep. serving NY's 9th Congressional district. Chair, Multicultural Media Caucus; Co-Chair, Black Women & Girls Caucus; Co-Chair, Caribbean Caucus.",31468,congressperson,democrat,2017-01-20T20:24:30Z,.@realDonaldTrump's promise to fight for middle-class families was as legitimate as a degree from #TrumpUniversity. https://t.co/cr1fK7WjhX,74,30
MarkWarner,"Senior U.S. Senator, Va. Vice Chairman, Intel Committee. Previous: Serial entrepreneur, business guy, His Excellency the 69th Governor of the Commonwealth of Va",116678,senator,democrat,2017-01-20T14:23:39Z,Next up: @Morning_Joe https://t.co/hkFE1grfCH,15,0
RepJohnDelaney,"Official Twitter page for Congressman John K. Delaney, representing Maryland’s Sixth Congressional District in the U.S. House of Representatives.",12860,congressperson,democrat,2017-01-20T02:29:16Z,"Just published in the Washington Post, my thoughts on tomorrow's inauguration and why I'll be in attendance https://t.co/fMPWeiO651",7,5
RepSinema,"Official twitter feed of U.S. Congresswoman Kyrsten Sinema, serving Arizona's 9th District.",18250,congressperson,democrat,2017-01-20T16:00:57Z,(2/2) Special thanks to officers and first responders from around the nation who are working in DC this week. https://t.co/TdFGkMkScU,9,1
RepMcGovern,Proudly representing the people of the 2nd District of Massachusetts.,30644,congressperson,democrat,2017-01-20T15:24:29Z,Politics is about standing up and fighting for what you believe in. You inspire me every day and I'm proud to stand... https://t.co/v3HRHyLK3v,16,8
RepGoodlatte,Proudly representing the Sixth Congressional District of Virginia in the U.S. House of Representatives. Chair of @HouseJudiciary. #VA06,27820,congressperson,republican,2017-01-20T17:17:11Z,"Congratulations, President Trump! This is a new day for America. I'm excited to tackle some of America's greatest challenges. #Inauguration",44,15
SusanWBrooks,Serving the good people of Indiana’s 5th District in Congress.,11869,congressperson,republican,2017-01-20T20:23:53Z,"RT @SpeakerRyan: A toast to my friend and the new Vice President of the United States, @VP @mike_pence. https://t.co/0yKhsmXm1I",0,271
SenSchumer,Official account of Senator Chuck Schumer - New York’s Senator RT≠endorsement,522353,senator,democrat,2017-01-20T00:40:56Z,"If heaven has a flaw, we're gonna find out soon. Wayne Barrett will have a detailed, impactful story on it in a wk. He'll be greatly missed.",1157,276
SenRubioPress,Official account of U.S. Senator @MarcoRubio's PressShop. For more information please visit his website.,32129,senator,republican,2017-01-20T17:45:03Z,RT @marcorubio: We also thank @BarackObama @MichelleObama for your service to our country. May God bless you as you begin this new phase in...,0,2838
